job title,job requirements
Junior Content Creator,"['outcome', 'focus', 'job', 'structure', 'freedom', 'team']"
Venue Sales Executive,"['event', 'company', 'australia', 'training', 'incentives', 'benefit']"
Trivia Hosts & Assistants,"['pay', 'ote', 'annum', 'level', 'autonomy', 'hour']"
Project Manager | Events and Exhibitions,"['package', 'arrangement', 'team', 'culture', 'knit', 'team', 'join', 'company', 'establish', 'tier', 'client']"
Entertainer/Musician,"['perform', 'guest', 'advertise', 'brand', 'audience', 'rank', 'day', 'cruise', 'tripadvisor']"
Videographer,"['time', 'employment', 'base', 'wa', 'entry', 'level', 'role', 'brand']"
Media Sales Consultant,"['flexibility', 'career', 'progression', 'pathways', 'earn', 'commission']"
Gallery & Museum Education and Engagement Officer,"['time', 'locate', 'gladstone', 'art', 'gallery', 'museum', 'day', 'fortnight']"
RIBS Editor,"['australia', 'broadcaster', 'launch', 'program', 'community', 'community', 'radio', 'network', 'australia', 'broadcast', 'license']"
Sydney Arts Editor,"['coverage', 'art', 'culture', 'story', 'month', 'term', 'contract', 'industry', 'lead', 'journalist']"
Trivia Hosts & Assistants,"['pay', 'ote', 'annum', 'level', 'autonomy', 'hour']"
Trivia Hosts & Assistants,"['pay', 'ote', 'annum', 'level', 'autonomy', 'hour']"
Designer,"['create', 'artwork', 'illustrate', 'story', 'creativity', 'digital', 'platform']"
Music Festival Coordinator,"['love', 'event', 'passion', 'music', 'festival', 'industry']"
"Digital Media Manager - Leading Australian Advertising Group - $130,000 package","['medium', 'planning', 'manager', 'service', 'advertising', 'agency', 'melbourne', 'base', 'model', 'remuneration', 'package']"
Commercial Operations Manager,"['join', 'environment', 'role', 'term', 'contract', 'month']"
JOURNALIST,"['workplace', 'term', 'condition', 'profit', 'industry']"
Journalist,"['term', 'june', 'time', 'level', 'pa', 'superannuation', 'bathurst']"
"Content & Device Partnerships Manager, 7plus","['motivate', 'fun', 'team', 'commit', 'professional', 'growth', 'month', 'time', 'leave', 'day', 'week']"
Account Manager,"['account', 'brand', 'manage', 'grow', 'exist', 'client', 'portfolio', 'flexibility', 'day', 'office']"
ClearAds Classifier - Advertising Compliance,"['medium', 'industry', 'fun', 'team', 'team', 'customer', 'variety', 'flexibility']"
Venue Events Manager,"['star', 'premium', 'venue', 'partner', 'cbd', 'location', 'training', 'development', 'organisation']"
Street Crew,"['kickstart', 'career', 'medium', 'radio', 'term', 'career', 'progression', 'guarantee', 'fun', 'job']"
"Content Author, Coles","['ensure', 'delivery', 'quality', 'content', 'opportunity', 'innovate', 'challenge', 'norm', 'pioneer', 'performing', 'team']"
Head of Editorial - The Chainsaw,"['role', 'sydney', 'melbourne', 'base', 'candidate', 'lead', 'team', 'journos']"
Project & Content Manager & Youth Participation Coordinator ,"['difference', 'people', 'join', 'recognise', 'excite', 'role', 'model', 'office', 'support', 'inspire', 'people', 'promote', 'health', 'literacy']"
Project & Content Manager & Youth Participation Coordinator ,"['difference', 'people', 'join', 'nfp', 'role', 'model', 'office', 'support', 'inspire', 'people', 'promote', 'health', 'literacy']"
Media Sales Consultant,"['base', 'car', 'allowance', 'commission', 'medium', 'company', 'australia', 'team', 'environment', 'pathway', 'career']"
